Date,Month,Hour,Requests,Category
12Jun15,Jun,00:00:00,554,Accepted
12Jun15,Jun,01:00:00,430,Accepted
12Jun15,Jun,02:00:00,393,Accepted
12Jun15,Jun,03:00:00,328,Accepted
12Jun15,Jun,04:00:00,349,Accepted
12Jun15,Jun,05:00:00,338,Accepted
12Jun15,Jun,06:00:00,325,Accepted
12Jun15,Jun,07:00:00,561,Accepted
12Jun15,Jun,08:00:00,1669,Accepted
12Jun15,Jun,09:00:00,2794,Accepted
12Jun15,Jun,10:00:00,2874,Accepted
12Jun15,Jun,11:00:00,3285,Accepted
12Jun15,Jun,12:00:00,3902,Accepted
12Jun15,Jun,13:00:00,4215,Accepted
12Jun15,Jun,14:00:00,4071,Accepted
12Jun15,Jun,15:00:00,3760,Accepted
12Jun15,Jun,16:00:00,4125,Accepted
12Jun15,Jun,17:00:00,3824,Accepted
12Jun15,Jun,18:00:00,3297,Accepted
12Jun15,Jun,19:00:00,2455,Accepted
12Jun15,Jun,20:00:00,1677,Accepted
12Jun15,Jun,21:00:00,1418,Accepted
12Jun15,Jun,22:00:00,1187,Accepted
12Jun15,Jun,23:00:00,904,Accepted
12Jun15,Jun,00:00:00,61,Rejected
12Jun15,Jun,01:00:00,62,Rejected
12Jun15,Jun,02:00:00,23,Rejected
12Jun15,Jun,03:00:00,23,Rejected
12Jun15,Jun,04:00:00,10,Rejected
12Jun15,Jun,05:00:00,8,Rejected
12Jun15,Jun,06:00:00,10,Rejected
12Jun15,Jun,07:00:00,39,Rejected
12Jun15,Jun,08:00:00,223,Rejected
12Jun15,Jun,09:00:00,485,Rejected
12Jun15,Jun,10:00:00,420,Rejected
12Jun15,Jun,11:00:00,520,Rejected
12Jun15,Jun,12:00:00,562,Rejected
12Jun15,Jun,13:00:00,667,Rejected
12Jun15,Jun,14:00:00,541,Rejected
12Jun15,Jun,15:00:00,476,Rejected
12Jun15,Jun,16:00:00,524,Rejected
12Jun15,Jun,17:00:00,361,Rejected
12Jun15,Jun,18:00:00,360,Rejected
12Jun15,Jun,19:00:00,247,Rejected
12Jun15,Jun,20:00:00,165,Rejected
12Jun15,Jun,21:00:00,171,Rejected
12Jun15,Jun,22:00:00,110,Rejected
12Jun15,Jun,23:00:00,72,Rejected
