Date,IHL,Users,Category
20May15,NIE,0,LocalUsers
20May15,NIE,0,Visitors
20May15,NIE,2,Rejected
20May15,NUS,12,LocalUsers
20May15,NUS,284,Visitors
20May15,NUS,312,Rejected
20May15,ASTAR,0,LocalUsers
20May15,ASTAR,0,Visitors
20May15,ASTAR,0,Rejected
20May15,NTU,11,LocalUsers
20May15,NTU,141,Visitors
20May15,NTU,35,Rejected
20May15,SMU,6,LocalUsers
20May15,SMU,66,Visitors
20May15,SMU,26,Rejected
21May15,ASTAR,0,LocalUsers
21May15,ASTAR,0,Visitors
21May15,ASTAR,0,Rejected
21May15,NTU,16,LocalUsers
21May15,NTU,192,Visitors
21May15,NTU,92,Rejected
21May15,SMU,4,LocalUsers
21May15,SMU,67,Visitors
21May15,SMU,38,Rejected
21May15,NUS,19,LocalUsers
21May15,NUS,490,Visitors
21May15,NUS,817,Rejected
21May15,SUTD,0,LocalUsers
21May15,SUTD,0,Visitors
21May15,SUTD,0,Rejected
21May15,NIE,0,LocalUsers
21May15,NIE,0,Visitors
21May15,NIE,0,Rejected
